,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,ctn-1,last_week_same_hour,last_day_same_hour
2011-01-01 00:00:00,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.81,0.0,16.0,16.0,16.0,16.0
2011-01-01 01:00:00,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,40.0,24.0,40.0,40.0
2011-01-01 02:00:00,1.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,32.0,-8.0,32.0,32.0
2011-01-01 03:00:00,1.0,0.0,1.0,3.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,13.0,-19.0,13.0,13.0
2011-01-01 04:00:00,1.0,0.0,1.0,4.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,1.0,-12.0,1.0,1.0
2011-01-01 05:00:00,1.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.24,0.2576,0.75,0.0896,1.0,0.0,1.0,1.0
2011-01-01 06:00:00,1.0,0.0,1.0,6.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,2.0,1.0,2.0,2.0
2011-01-01 07:00:00,1.0,0.0,1.0,7.0,0.0,6.0,0.0,1.0,0.2,0.2576,0.86,0.0,3.0,1.0,3.0,3.0
2011-01-01 08:00:00,1.0,0.0,1.0,8.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,8.0,5.0,8.0,8.0
2011-01-01 09:00:00,1.0,0.0,1.0,9.0,0.0,6.0,0.0,1.0,0.32,0.3485,0.76,0.0,14.0,6.0,14.0,14.0
2011-01-01 10:00:00,1.0,0.0,1.0,10.0,0.0,6.0,0.0,1.0,0.38,0.3939,0.76,0.2537,36.0,22.0,36.0,36.0
2011-01-01 11:00:00,1.0,0.0,1.0,11.0,0.0,6.0,0.0,1.0,0.36,0.3333,0.81,0.2836,56.0,20.0,56.0,56.0
2011-01-01 12:00:00,1.0,0.0,1.0,12.0,0.0,6.0,0.0,1.0,0.42,0.4242,0.77,0.2836,84.0,28.0,84.0,84.0
2011-01-01 13:00:00,1.0,0.0,1.0,13.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2985,94.0,10.0,94.0,94.0
2011-01-01 14:00:00,1.0,0.0,1.0,14.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2836,106.0,12.0,106.0,106.0
2011-01-01 15:00:00,1.0,0.0,1.0,15.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.77,0.2985,110.0,4.0,110.0,110.0
2011-01-01 16:00:00,1.0,0.0,1.0,16.0,0.0,6.0,0.0,2.0,0.42,0.4242,0.82,0.2985,93.0,-17.0,93.0,93.0
2011-01-01 17:00:00,1.0,0.0,1.0,17.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.82,0.2836,67.0,-26.0,67.0,67.0
2011-01-01 18:00:00,1.0,0.0,1.0,18.0,0.0,6.0,0.0,3.0,0.42,0.4242,0.88,0.2537,35.0,-32.0,35.0,35.0
2011-01-01 19:00:00,1.0,0.0,1.0,19.0,0.0,6.0,0.0,3.0,0.42,0.4242,0.88,0.2537,37.0,2.0,37.0,37.0
2011-01-01 20:00:00,1.0,0.0,1.0,20.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.2537,36.0,-1.0,36.0,36.0
2011-01-01 21:00:00,1.0,0.0,1.0,21.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.19399999999999998,34.0,-2.0,34.0,34.0
2011-01-01 22:00:00,1.0,0.0,1.0,22.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.94,0.2239,28.0,-6.0,28.0,28.0
